Feature,Importance
v_3,8128380.218779944
v_12,3646453.7207665183
v_0,2968804.7107358743
vehicle_age,2651229.1640001703
v_14,2376516.3413010314
regionCode,2005509.4584125672
v_10,1865191.4415271003
v_3_squared,1809374.917437479
v_6,1758137.3482398577
power,1738462.2662351131
v_8,1646072.355991805
v_13,1466917.7344845217
v_11,1383218.7659605704
model,1309523.2259105965
v_9,1308669.171164561
v_1,1287535.318237409
v_1_squared,1263489.1634094715
v_4_squared,1249815.130140677
v_7,1240617.4580164626
v_2_squared,1218377.4281212278
creatDate_day,1190325.412256401
v_2,1112215.49494797
v_5,1104617.6619028337
v_4,1045157.6857459266
regDate_year,902236.7766023278
brand,899794.5227116626
regDate_month,802247.2000947297
regDate_day,777732.1061194465
kilometer,741526.2877489179
v_0_squared,577464.7507044226
notRepairedDamage,390780.7188312113
bodyType,298189.8311486617
fuelType,252267.9034819305
gearbox,162329.38983471692
kilometer_log,151203.50015865266
power_bin,65538.3917427063
creatDate_month,39285.54192185402
creatDate_year_month,28474.904880404472
creatDate_year,0.0
seller,0.0
offerType,0.0
